"Time","Weight","Concentration"
6,39,42.9369672563931
7,39,38.0903132951579
8,39,33.790741629691
9,39,29.976498513854
10,39,26.5928008623973
11,39,23.5910494142699
12,39,20.9281307127553
13,39,18.5657978769372
14,39,16.4701212706592
15,39,14.6110011790654
16,39,12.9617354934088
17,39,11.498636194884
18,39,10.2006891291317
19,39,9.04925218483578
20,39,8.0277875414213
21,39,7.1216241401906
22,39,6.31774696732521
23,39,5.60461012227454
24,39,4.97197098667615
25,39,4.41074311201454
26,39,3.91286571307801
27,39,3.4711878927786
28,39,3.07936593548323
29,39,2.73177219370398
30,39,2.42341425950834
31,39,2.14986325972711
32,39,1.907190245081
33,39,1.69190975959737
34,39,1.50092977981819
35,39,1.33150730478746
36,39,1.1812089589675
37,39,1.04787604223305
38,39,0.929593524964295
39,39,0.824662542922568
40,39,0.731575996859098
41,39,0.64899690639961
42,39,0.575739207306698
43,39,0.510750716315501
44,39,0.453098018870605
45,39,0.401953062710245
46,39,0.356581264744585
47,39,0.316330960409938
48,39,0.280624043962459
49,39,0.248947665280031
50,39,0.220846863915443
51,39,0.195918034605479
52,39,0.173803130382553
53,39,0.15418452002953
54,39,0.136780426016555
55,39,0.121340877396039
56,39,0.107644119528174
57,39,0.0954934290707056
58,39,0.0847142884873996
59,39,0.0751518794933283
1,40,76.1935607801539
2,40,67.5932402726853
3,40,59.9634269298139
4,40,53.1948543167738
5,40,47.1903070032154
6,40,41.8635430749833
7,40,37.1380554627789
8,40,32.9459730889487
9,40,29.2270860510076
10,40,25.9279808408373
11,40,23.0012731789131
12,40,20.4049274449364
13,40,18.1016529300138
14,40,16.0583682388927
15,40,14.2457261495888
16,40,12.6376921060736
17,40,11.2111702900119
18,40,9.9456719009034
19,40,8.82302088021488
20,40,7.82709285288577
21,40,6.94358353668584
22,40,6.15980329314208
23,40,5.46449486921767
24,40,4.84767171200924
25,40,4.30047453421418
26,40,3.81504407025106
27,40,3.38440819545913
28,40,3.00238178709615
29,40,2.66347788886138
30,40,2.36282890302063
31,40,2.09611667823393
32,40,1.85951048895397
33,40,1.64961201560743
34,40,1.46340653532274
35,40,1.29821962216777
36,40,1.15167873499331
37,40,1.02167914117722
38,40,0.906353686840187
39,40,0.804045979349504
40,40,0.71328659693762
41,40,0.63277198373962
42,40,0.56134572712403
43,40,0.497981948407613
44,40,0.44177056839884
45,40,0.391904236142489
46,40,0.34766673312597
47,40,0.308422686399689
48,40,0.273608442863397
49,40,0.24272397364803
50,40,0.215325692317557
51,40,0.191020083740342
52,40,0.169458052122989
53,40,0.150329907028791
54,40,0.133360915366141
55,40,0.118307355461138
56,40,0.10495301653997
57,40,0.093106093343938
58,40,0.0825964312752146
59,40,0.0732730825059951
1,41,74.3351812489306
2,41,65.9446246562783
3,41,58.5009043217697
4,41,51.897418845633
5,41,46.039323905576
6,41,40.8424810487641
7,41,36.2322492319794
8,41,32.1424127697061
9,41,28.514230293666
10,41,25.2955910642315
11,41,22.4402665160128
12,41,19.9072462877429
13,41,17.6601492000135
14,41,15.6667007208709
15,41,13.8982694142329
16,41,12.3294557132425
17,41,10.9377271122067
18,41,9.70309453746673
19,41,8.60782524899013
20,41,7.63618814915685
21,41,6.77422784066911
22,41,6.0095641884313
23,41,5.33121450655383
24,41,4.72943581659438
25,41,4.19558491142847
26,41,3.72199421487908
27,41,3.30186165410647
28,41,2.92915296302063
29,41,2.5985150135233
30,41,2.30519892977622
31,41,2.04499188120384
32,41,1.81415657458924
33,41,1.60937757620238
34,41,1.42771369299779
35,41,1.26655572894417
36,41,1.12358900974957
37,41,0.996760137733876
38,41,0.88424749935628
39,41,0.784435101804394
40,41,0.695889362865971
41,41,0.61733852072158
42,41,0.547654367925883
43,41,0.48583604722694
44,41,0.430995676486673
45,41,0.382345596236574
46,41,0.339187056708263
47,41,0.300900181853355
48,41,0.266935066208192
49,41,0.236803876729786
50,41,0.21007384616347
51,41,0.186361057307651
52,41,0.165324928900477
53,41,0.146663323930528
54,41,0.130108210113309
55,41,0.115421810205989
56,41,0.102393186868263
57,41,0.090835213018476
58,41,0.0805818841709411
59,41,0.0714859341521903
1,42,72.5652959810989
2,42,64.3745145454146
3,42,57.1080256474418
4,42,50.6617660159751
5,42,44.9431495268718
6,42,39.8700410237936
7,42,35.369576631218
8,42,31.3771172275702
9,42,27.8353200485787
10,42,24.6933150865117
11,42,21.9059744561077
12,42,19.4332642332728
13,42,17.239669457156
14,42,15.2936840370407
15,42,13.5673582377036
16,42,12.0358972438796
17,42,10.6773050381065
18,42,9.47206847705085
19,42,8.40287702877608
20,42,7.45437414560549
21,42,6.61293670160556
22,42,5.86647932680199
23,42,5.20428082782636
24,42,4.61683020191357
25,42,4.09569003258493
26,42,3.63337530500101
27,42,3.22324590043727
28,42,2.85941122580585
29,42,2.53664560843941
30,42,2.25031324097203
31,42,1.99630159831803
32,42,1.77096237043235
33,42,1.57105906248327
34,42,1.39372050983118
35,42,1.23639964015978
36,42,1.09683689046982
37,42,0.973027753502117
38,42,0.863193987466845
39,42,0.765758075570956
40,42,0.679320568512019
41,42,0.602639984513924
42,42,0.534614978213362
43,42,0.474268522292965
44,42,0.420733874665562
45,42,0.373242129659513
46,42,0.331111174405686
47,42,0.293735891809228
48,42,0.260579469393712
49,42,0.2311656891886
50,42,0.205072087921483
51,42,0.181923889276516
52,42,0.161388621069513
53,42,0.14317134002742
54,42,0.127010395586801
55,42,0.112673671867751
56,42,0.0999552538475904
57,42,0.0886724698513695
58,42,0.0786632678811568
59,42,0.0697838881009477
1,43,70.8777309582827
2,43,62.8774328118003
3,43,55.7799320277339
4,43,49.4835854109524
5,43,43.8979600029911
6,43,38.9428307674263
7,43,34.5470283374688
8,43,30.647416826929
9,43,27.1879870241931
10,43,24.1190519449649
11,43,21.3965331896866
12,43,18.9813278557548
13,43,16.8387469116407
14,43,14.9380169664118
15,43,13.2518382786872
16,43,11.7559926568126
17,43,10.4289956186157
18,43,9.25178781479385
19,43,8.20746128392082
20,43,7.28101660733559
21,43,6.45914747598682
22,43,5.73004957501589
23,43,5.08325104113272
24,43,4.50946205768302
25,43,4.00044142717598
26,43,3.5488782048847
27,43,3.14828669345035
28,43,2.79291329032199
29,43,2.47765385010361
30,43,2.19798037490291
31,43,1.94987597975249
32,43,1.72977719902695
33,43,1.53452280521622
34,43,1.36130840495138
35,43,1.20764616015607
36,43,1.07132905580773
37,43,0.95039920109509
38,43,0.843119708688546
39,43,0.747949748232096
40,43,0.663522415755925
41,43,0.588625101153134
42,43,0.522182071743283
43,43,0.463239021774523
44,43,0.410949365952408
45,43,0.364562080132547
46,43,0.323410914535786
47,43,0.28690482455785
48,43,0.254519481733392
