"IC50_SP_R","IC50_SP","Age","Number_round","Coverage_reduction","Coverage","eir","Access","half_life_long","Dosage_long","seed","seasonality","scenario_name","Indicator","Indicator_1","Input_EIR","Simulated_EIR","time_eir","time_eir_2","Liste","time_0.1"
15,2.39,5,4,0.1,0.95,"100","0.05",15,30,3,"sesonality2","scenario_171_3.txt",0.0324284195445698,0.0322802905953856,114.523966953488,100.930157610123,8.2236842105263,8.30946271929825,270,23.6167324560228
21,2.39,5,4,0.1,0.95,"100","0.05",15,30,3,"sesonality2","scenario_172_3.txt",0.0139302854245742,0.0141705499175656,114.523966953488,100.930157610123,8.2236842105263,8.30946271929825,273,54.9775747598635
25,2.39,5,4,0.1,0.95,"100","0.05",15,30,3,"sesonality2","scenario_173_3.txt",0.00974138860983774,0.0099187010068242,114.523966953488,100.930157610123,8.2236842105263,8.30946271929825,276,78.6184946550984
5,2.39,5,4,0.1,0.75,"150","0.05",15,30,3,"sesonality2","scenario_217_3.txt",0.0368783036609723,0.0368920694773076,164.972398912449,151.377341109302,8.2236842105263,8.30946271929825,423,20.7670427413464
10,2.39,5,4,0.1,0.75,"150","0.05",15,30,3,"sesonality2","scenario_218_3.txt",0.0300753756791487,0.0302456968906339,164.972398912449,151.377341109302,8.2236842105263,8.30946271929825,426,25.4644635706656
15,2.39,5,4,0.1,0.75,"150","0.05",15,30,3,"sesonality2","scenario_219_3.txt",0.026211083654181,0.02660830470124,164.972398912449,151.377341109302,8.2236842105263,8.30946271929825,429,29.2186816256871
21,2.39,5,4,0.1,0.75,"150","0.05",15,30,3,"sesonality2","scenario_220_3.txt",0.011933003360634,0.0117993076137969,164.972398912449,151.377341109302,8.2236842105263,8.30946271929825,435,64.1794261855529
25,2.39,5,4,0.1,0.75,"150","0.05",15,30,3,"sesonality2","scenario_221_3.txt",0.00751346064094044,0.00763694987338944,164.972398912449,151.377341109302,8.2236842105263,8.30946271929825,438,101.93083386671
5,2.39,5,4,0.1,0.95,"150","0.05",15,30,3,"sesonality2","scenario_241_3.txt",0.0493111376799797,0.0492504495548371,164.972398912449,151.377341109302,8.2236842105263,8.30946271929825,504,15.5310411478643
10,2.39,5,4,0.1,0.95,"150","0.05",15,30,3,"sesonality2","scenario_242_3.txt",0.0380687734280782,0.0379949355579043,164.972398912449,151.377341109302,8.2236842105263,8.30946271929825,507,20.1176250083986
