"Test_True","Test_predicted","iteration","seasonality","IC50_SP_R","IC50_SP","Age","Coverage_reduction","Number_round"
0.00552792089655166,0.00637066383616139,3,"sesonality3",24.2,2.39,"5","0","3"
0.00587754277164143,0.00576364717225965,3,"sesonality3",24.2,2.39,"5","0","3"
0.00609184343833983,0.00748474768236337,3,"sesonality3",24.2,2.39,"5","0","3"
0.00582520434640283,0.00700735136039073,3,"sesonality3",24.2,2.39,"5","0","3"
0.00434319585466381,0.00458938528153726,3,"sesonality3",24.2,2.39,"5","0","3"
0.00901926092428036,0.00724875405142804,3,"sesonality3",24.2,2.39,"5","0","3"
0.00829334091067867,0.00631855067193374,3,"sesonality3",24.2,2.39,"5","0","3"
0.00948015701308535,0.00984876166587517,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0162279581250027,0.0165440924487069,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0243772381931265,0.0250229178419502,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.013807848676412,0.0145653718867996,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0206656426680236,0.0185341725009821,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0210600419769206,0.0211603696575475,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0214308248089341,0.0213804106192961,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.020881039304544,0.0196912749489957,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.01863663492158,0.0184420461512358,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0111203384464236,0.011422796464162,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0182112376723458,0.0193171085050221,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0168481400342312,0.016571624961289,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0058541879430054,0.00672501856704988,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0133544658996063,0.0139445204516158,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0110184455409434,0.0111403025416697,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0220619516743417,0.0226831275285769,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.00934517088183823,0.00727126110933645,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0189014213613591,0.0179937261931867,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0187911802245316,0.0188432684358911,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0198444282783786,0.0202270613563673,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0187004964811603,0.0179782928956959,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.00965714129057183,0.0110331616504988,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0112370663367877,0.0129897964645639,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0214696961446703,0.0200203861845005,3,"sesonality2",24.2,2.39,"5","0.1","4"
0.0234244598889995,0.0237493831212396,3,"sesonality2",24.2,2.39,"5","0.1","4"
