"Survey","Host_2","Uncomp_2","MDAs_2"
1425,1560,13,0
1426,1560,13,0
1427,1560,24,0
1428,1560,26,0
1429,1561,20,0
1430,1562,28,0
1431,1562,29,0
1432,1562,44,0
1433,1562,46,0
1434,1563,48,0
1435,1563,58,0
1436,1562,72,0
1437,1562,54,0
1438,1563,54,0
1439,1562,76,0
1440,1564,81,0
1441,1565,61,0
1442,1564,66,0
1443,1565,84,0
1444,1565,68,0
1445,1565,61,0
1446,1563,49,0
1447,1563,71,0
1448,1563,69,0
1449,1561,51,0
1450,1560,62,0
1451,1559,56,0
1452,1561,50,0
1453,1561,43,0
1454,1560,49,0
1455,1560,49,0
1456,1560,35,0
1457,1560,27,0
1458,1561,36,0
1459,1561,22,0
1460,1561,31,0
1461,1561,21,0
1462,1561,22,0
1463,1560,20,0
1464,1560,14,0
1465,1560,16,0
1466,1560,10,0
1467,1560,10,0
1468,1561,11,0
1469,1561,6,0
1470,1561,9,0
1471,1561,10,0
1472,1560,5,0
1473,1560,8,0
1474,1560,4,0
1475,1560,7,0
1476,1560,3,0
1477,1561,3,0
1478,1561,4,0
1479,1561,2,0
1480,1562,3,0
1481,1562,4,0
1482,1561,1,0
1483,1561,1,0
1484,1560,5,0
1485,1559,3,0
1486,1559,4,0
1487,1559,2,0
1488,1559,3,0
1489,1559,2,0
