"Age","Number_round","Coverage_reduction","Coverage","Access","EIR","Seasonality","PE_1","PP"
5,4,0.1,0.9,"0.2","100","sesonality2",0.704010003933069,35
5,4,0.1,0.9,"0.2","100","sesonality2",0.505372199263565,21
5,4,0.1,0.9,"0.2","125","sesonality2",0.725966748101243,35
5,4,0.1,0.9,"0.2","125","sesonality2",0.51823934226259,21
5,4,0.1,0.9,"0.2","150","sesonality2",0.719176704469718,35
5,4,0.1,0.9,"0.2","150","sesonality2",0.524059219912965,21
5,4,0.1,0.9,"0.4","10","sesonality2",0.686318444529972,35
5,4,0.1,0.9,"0.4","10","sesonality2",0.442989030920069,21
5,4,0.1,0.9,"0.4","25","sesonality2",0.686055384720733,35
5,4,0.1,0.9,"0.4","25","sesonality2",0.459866941428978,21
5,4,0.1,0.9,"0.4","50","sesonality2",0.698828388743279,35
5,4,0.1,0.9,"0.4","50","sesonality2",0.445952765597996,21
5,4,0.1,0.9,"0.4","75","sesonality2",0.689848750420714,35
5,4,0.1,0.9,"0.4","75","sesonality2",0.431476545880803,21
5,4,0.1,0.9,"0.4","100","sesonality2",0.681363880970933,35
5,4,0.1,0.9,"0.4","100","sesonality2",0.420380823866349,21
5,4,0.1,0.9,"0.4","125","sesonality2",0.687562207344343,35
5,4,0.1,0.9,"0.4","125","sesonality2",0.429590590904412,21
5,4,0.1,0.9,"0.4","150","sesonality2",0.690468252136331,35
5,4,0.1,0.9,"0.4","150","sesonality2",0.459655724294502,21
5,4,0.1,0.95,"0.05","10","sesonality2",0.809459969803618,35
5,4,0.1,0.95,"0.05","10","sesonality2",0.6446869187797,21
5,4,0.1,0.95,"0.05","25","sesonality2",0.830153875603082,35
5,4,0.1,0.95,"0.05","25","sesonality2",0.664280759963985,21
5,4,0.1,0.95,"0.05","50","sesonality2",0.801951462333577,35
5,4,0.1,0.95,"0.05","50","sesonality2",0.635846237193995,21
5,4,0.1,0.95,"0.05","75","sesonality2",0.808698000946198,35
5,4,0.1,0.95,"0.05","75","sesonality2",0.642477819546117,21
5,4,0.1,0.95,"0.05","100","sesonality2",0.816202105075967,35
5,4,0.1,0.95,"0.05","100","sesonality2",0.636305580563058,21
5,4,0.1,0.95,"0.05","125","sesonality2",0.804992343792534,35
5,4,0.1,0.95,"0.05","125","sesonality2",0.639380746164114,21
5,4,0.1,0.95,"0.05","150","sesonality2",0.808173635741653,35
5,4,0.1,0.95,"0.05","150","sesonality2",0.652649895256928,21
5,4,0.1,0.95,"0.1","10","sesonality2",0.821615369622909,35
5,4,0.1,0.95,"0.1","10","sesonality2",0.657528743970699,21
5,4,0.1,0.95,"0.1","25","sesonality2",0.799845709961092,35
