"Survey","EIR","MDA"
790,1.13724,0
791,0.94358,0
792,0.773563,0
793,0.627628,0
794,0.504726,0
795,0.40285,0
796,0.318886,0
797,0.250037,0
798,0.193972,0
799,0.14882,0
800,0.11292,0
801,0.084639,0
802,0.062434,0
803,0.044825,0
804,0.0306912,0
805,0.0193153,0
806,0.0101021,0
807,0.01,0
808,0.01,0
809,0.01,0
810,0.01,0
811,0.01,0
812,0.01,0
813,0.01,0
814,0.01,0
815,0.01,0
816,0.01,0
817,0.01,0
818,0.01,0
819,0.01,0
820,0.01,0
821,0.01,0
822,0.01,0
823,0.01,0
824,0.01,0
825,0.01,0
826,0.01,0
827,0.01,0
828,0.01,0
829,0.01,0
830,0.01,0
831,0.01,0
832,0.01,0
833,0.01,0
834,0.01,0
835,0.0213074,0
836,0.041056,0
837,0.068484,0
838,0.105674,0
839,0.15548,0
840,0.222699,0
841,0.312399,0
842,0.42963,0
843,0.579159,0
844,0.764464,0
845,0.98895,0
846,1.2525,0
847,1.54706,0
848,1.86568,0
849,2.19341,0
850,2.50742,0
851,2.78614,0
852,2.99799,0
853,3.11586,0
854,3.12862,0
855,3.04427,0
856,2.88102,0
857,2.65797,0
858,2.39893,0
859,2.12635,0
860,1.85666,0
861,1.5979,0
862,1.35704,0
863,1.13933,0
864,0.94562,0
865,0.775687,0
866,0.62925,0
867,0.505546,0
868,0.402661,0
869,0.318202,0
870,0.249398,0
871,0.193721,0
872,0.149106,0
873,0.113716,0
874,0.085593,0
875,0.063103,0
876,0.045067,0
877,0.0307271,0
878,0.0193299,0
879,0.010168,0
880,0.01,0
881,0.01,0
882,0.01,0
883,0.01,0
884,0.01,0
885,0.01,0
886,0.01,0
887,0.01,0
888,0.01,0
889,0.01,0
890,0.01,0
891,0.01,0
892,0.01,0
893,0.01,0
894,0.01,0
895,0.01,0
896,0.01,0
897,0.01,0
898,0.01,0
899,0.01,0
900,0.01,0
901,0.01,0
902,0.01,0
903,0.01,0
904,0.01,0
905,0.01,0
906,0.01,0
907,0.01,0
908,0.023459,0
909,0.044675,0
910,0.071709,0
911,0.107797,0
912,0.157453,0
913,0.223418,0
914,0.308017,0
915,0.417532,0
916,0.560446,0
917,0.743792,0
918,0.97338,0
919,1.24954,0
920,1.56035,0
921,1.88943,0
922,2.22279,0
923,2.53596,0
924,2.8047,0
925,2.99911,0
926,3.0983,0
927,3.10482,0
928,3.02623,0
929,2.87477,0
930,2.66263,0
931,2.41231,0
932,2.14332,0
933,1.8717,0
934,1.60957,0
935,1.36469,0
936,1.1427,0
937,0.94642,0
938,0.775465,0
939,0.628739,0
940,0.505051,0
941,0.402436,0
942,0.318241,0
943,0.249921,0
944,0.194911,0
945,0.150616,0
946,0.114861,0
947,0.086264,0
948,0.06358,0
949,0.045695,0
950,0.031453,0
951,0.0198792,0
952,0.0104262,0
953,0.01,0
954,0.01,0
955,0.01,0
956,0.01,0
957,0.01,0
958,0.01,0
959,0.01,0
960,0.01,0
961,0.01,0
962,0.01,0
963,0.01,0
964,0.01,0
965,0.01,0
966,0.01,0
967,0.01,0
968,0.01,0
969,0.01,0
970,0.01,0
971,0.01,0
972,0.01,0
973,0.01,0
974,0.01,0
975,0.01,0
976,0.01,0
977,0.01,0
978,0.01,0
979,0.01,0
980,0.01,0
981,0.0212858,0
982,0.041546,0
983,0.068499,0
984,0.105988,0
985,0.158465,0
986,0.228904,0
987,0.318319,0
988,0.430583,0
989,0.572078,0
990,0.753523,0
991,0.98196,0
992,1.25871,0
993,1.58136,0
994,1.92928,0
995,2.27617,0
996,2.59213,0
997,2.85335,0
998,3.03836,0
999,3.13449,0
1000,3.13777,0
1001,3.04951,0
1002,2.88531,0
1003,2.66664,0
1004,2.41502,0
1005,2.14836,0
1006,1.88219,0
1007,1.62548,0
1008,1.38293,0
1009,1.1597,0
1010,0.96093,0
1011,0.787588,0
1012,0.639345,0
1013,0.513918,0
1014,0.408969,0
1015,0.322688,0
1016,0.252562,0
1017,0.196101,0
1018,0.150999,0
