"Survey","nPatent_1","nPatent_2","nPatent_3","nPatent_4"
1278,1551,2368,3888,10168
1279,1603,2468,4185,10815
1280,1738,2651,4397,11535
1281,1849,2784,4682,12489
1282,1890,2925,4953,13379
1283,1983,2972,5162,14522
1284,2110,3104,5427,15794
1285,2162,3205,5629,17114
1286,2233,3348,5884,18703
1287,2282,3411,6076,20408
1288,2361,3497,6246,22211
1289,2397,3499,6331,23955
1290,2382,3539,6492,25702
1291,2402,3546,6655,27360
1292,2425,3502,6719,28817
1293,2458,3515,6657,30180
1294,2473,3481,6565,31206
1295,2489,3430,6499,31871
1296,2460,3441,6386,32590
1297,2474,3474,6382,32709
1298,2477,3487,6368,32913
1299,2470,3376,6242,32717
1300,2484,3400,6216,32642
1301,2478,3363,6198,32074
1302,2414,3332,6159,31788
1303,2326,3256,6065,30994
1304,2326,3215,5980,30273
1305,2248,3169,5975,29424
1306,2237,3144,5839,28334
1307,2177,3084,5782,27127
1308,2132,2988,5678,25941
1309,2097,2936,5620,24846
1310,2072,2930,5479,23513
1311,2054,2888,5356,22408
1312,1989,2895,5257,21121
1313,1905,2801,5198,19995
1314,1855,2797,5048,18767
1315,1878,2771,4928,17817
1316,1808,2705,4756,16910
1317,1698,2637,4631,16123
1318,1611,2552,4572,15184
1319,1569,2469,4399,14181
1320,1517,2378,4249,13742
1321,1481,2328,4105,12848
1322,1390,2201,3968,12257
1323,1316,2145,3776,11728
1324,1253,2021,3710,11215
1325,1193,1951,3591,10690
1326,1152,1898,3403,10095
1327,1142,1804,3270,9692
1328,1083,1756,3090,9263
1329,1063,1630,2988,8776
1330,1033,1570,2879,8516
1331,984,1543,2741,8224
1332,986,1505,2664,8007
1333,936,1468,2607,7783
1334,932,1432,2570,7512
1335,890,1415,2538,7283
1336,848,1388,2520,7089
1337,835,1384,2496,6973
1338,865,1380,2462,6784
1339,887,1368,2432,6797
1340,894,1335,2414,6745
1341,874,1362,2429,6785
1342,908,1409,2478,6849
1343,932,1424,2556,6958
1344,960,1512,2646,7128
1345,1040,1647,2749,7311
1346,1112,1722,2916,7666
1347,1183,1829,3075,8023
1348,1282,1928,3215,8465
1349,1338,2066,3466,8972
1350,1468,2184,3689,9627
1351,1589,2324,3856,10091
1352,1710,2504,4127,10812
1353,1767,2703,4388,11583
1354,1839,2811,4595,12335
1355,1950,2978,4829,13281
1356,1994,3027,5046,14494
1357,2064,3161,5274,15666
1358,2146,3234,5569,17056
1359,2183,3311,5763,18581
1360,2295,3392,5956,20327
1361,2280,3507,6179,22148
1362,2359,3508,6318,23770
1363,2387,3535,6465,25668
1364,2486,3524,6523,27408
1365,2477,3528,6515,28757
1366,2550,3539,6601,30016
1367,2517,3528,6585,30966
1368,2499,3552,6532,31703
1369,2495,3511,6471,32348
1370,2480,3532,6428,32770
1371,2492,3473,6388,32724
1372,2400,3483,6311,32669
1373,2379,3445,6208,32406
1374,2349,3394,6202,32105
1375,2354,3373,6178,31470
1376,2291,3296,6164,30917
1377,2244,3218,6085,30240
1378,2248,3195,6002,29517
1379,2228,3174,5795,28389
1380,2205,3095,5808,27227
1381,2140,3089,5727,26026
1382,2122,3081,5640,24757
1383,2102,2993,5645,23530
1384,2081,2960,5542,22309
1385,2026,2886,5393,20945
1386,1997,2840,5307,19750
1387,1916,2769,5130,18762
1388,1859,2718,5002,17676
1389,1792,2681,4913,16613
1390,1731,2593,4765,15868
1391,1668,2517,4659,14929
1392,1598,2414,4405,14121
1393,1550,2314,4255,13457
1394,1485,2226,4134,12742
1395,1444,2140,3964,12246
1396,1401,2079,3777,11524
1397,1330,2044,3680,10964
1398,1251,1991,3544,10412
1399,1188,1868,3413,10114
1400,1163,1771,3312,9647
1401,1106,1690,3198,9349
1402,1048,1640,3036,9115
1403,1015,1589,2952,8731
1404,987,1514,2879,8428
1405,957,1498,2798,8072
1406,966,1473,2718,7746
1407,970,1444,2648,7541
1408,944,1379,2599,7326
1409,885,1370,2471,7101
1410,848,1330,2532,6983
1411,852,1344,2504,6874
1412,869,1359,2450,6731
1413,865,1389,2480,6813
1414,855,1446,2490,6880
1415,873,1456,2464,7007
1416,925,1499,2546,7040
1417,959,1550,2642,7223
1418,1017,1602,2776,7462
1419,1102,1699,2858,7783
1420,1152,1788,3063,8156
1421,1245,1919,3223,8655
1422,1355,2123,3441,8982
1423,1480,2223,3683,9602
1424,1591,2396,3845,10159
1425,1677,2581,4248,10821
1426,1755,2696,4483,11658
